"Backpack","Site","eFishCatch","AirTemp","WaterTemp","pH","DissolvedOxygen","Conductivity","VolumeFiltered","eDNAConc"
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.34,67.1349754929382
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.34,83.8274039312655
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.34,89.1608341072902
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.34,93.0948801041086
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.34,38.062583154621
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.34,83.311932027644
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.03,0
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.03,0
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.03,84.8679355352788
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.03,0
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.03,0
"OSMOS","1",0,14,14.7,8.05,9.9,1046,1.03,0
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.26,7.34939779320021
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.26,4.37937932381108
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.26,0
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.26,0
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.26,0
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.26,0
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.24,0
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.24,0
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.24,0
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.24,0
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.24,0
"ANDe","1",0,14,14.7,8.05,9.9,1046,1.24,0
"OSMOS","2",1,14,14.7,8.04,8.34,1047,1.01,126.153990063241
"OSMOS","2",1,14,14.7,8.04,8.34,1047,1.01,91.4197596178935
"OSMOS","2",1,14,14.7,8.04,8.34,1047,1.01,83.7995130070587
"OSMOS","2",1,14,14.7,8.04,8.34,1047,1.01,26.8754683141307
"OSMOS","2",1,14,14.7,8.04,8.34,1047,1.01,26.0713882743418
