"method","metric","rho","praw","n","p_BH","p_BF"
"BF","confidence",-0.642962376409057,4.83432356311187e-12,92,1.93372942524475e-11,5.80118827573424e-11
"BF","length",0.0635534770056113,0.547268786491739,92,0.547268786491739,1
"BF","lift",-0.362020136491769,0.000391163178568856,92,0.000782326357137711,0.00469395814282627
"BF","support",-0.282847405566588,0.00629688244562482,92,0.0107946556210711,0.0755625893474978
"BH","confidence",-0.739782473600886,3.6568138843901e-17,92,4.38817666126812e-16,4.38817666126812e-16
"BH","length",-0.156785700105705,0.135562528252923,92,0.203343792379385,1
"BH","lift",-0.616339567374126,6.13729796592308e-11,92,1.84118938977692e-10,7.3647575591077e-10
"BH","support",-0.101350337372463,0.336398827467247,92,0.366980539055179,1
"uncorr","confidence",-0.70310482618547,5.55765643318053e-15,92,3.33459385990832e-14,6.66918771981664e-14
"uncorr","length",-0.140790540355725,0.180691169996471,92,0.240921559995295,1
"uncorr","lift",-0.595057277275663,3.96706202095384e-10,92,9.52094885028923e-10,4.76047442514461e-09
"uncorr","support",-0.134287895469516,0.201876853194719,92,0.242252223833663,1
