"rules","support","confidence","coverage","lift","count"
"{} => {eDNAConc=high}",0.595238095238095,0.595238095238095,1,1,75
"{eFishCatch=absent} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{Site=4} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
"{Site=3} => {eDNAConc=high}",0.119047619047619,0.625,0.19047619047619,1.05,15
"{Site=1} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{pH=low} => {eDNAConc=high}",0.119047619047619,0.625,0.19047619047619,1.05,15
"{Site=2} => {eDNAConc=high}",0.142857142857143,0.75,0.19047619047619,1.26,18
"{Site=5} => {eDNAConc=high}",0.142857142857143,0.6,0.238095238095238,1.008,18
"{DissolvedOxygen=low} => {eDNAConc=high}",0.261904761904762,0.6875,0.380952380952381,1.155,33
"{Conductivity=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35
"{WaterTemp=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35
"{AirTemp=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35
"{VolumeFiltered=high} => {eDNAConc=high}",0.277777777777778,0.583333333333333,0.476190476190476,0.98,35
"{Backpack=OSMOS} => {eDNAConc=high}",0.349206349206349,0.733333333333333,0.476190476190476,1.232,44
"{Backpack=ANDe} => {eDNAConc=high}",0.246031746031746,0.46969696969697,0.523809523809524,0.789090909090909,31
"{VolumeFiltered=low} => {eDNAConc=high}",0.317460317460317,0.606060606060606,0.523809523809524,1.01818181818182,40
"{Conductivity=low} => {eDNAConc=high}",0.317460317460317,0.555555555555556,0.571428571428571,0.933333333333333,40
"{WaterTemp=low} => {eDNAConc=high}",0.317460317460317,0.555555555555556,0.571428571428571,0.933333333333333,40
"{AirTemp=low} => {eDNAConc=high}",0.317460317460317,0.555555555555556,0.571428571428571,0.933333333333333,40
"{DissolvedOxygen=high} => {eDNAConc=high}",0.333333333333333,0.538461538461538,0.619047619047619,0.904615384615384,42
"{eFishCatch=present} => {eDNAConc=high}",0.53968253968254,0.666666666666667,0.80952380952381,1.12,68
"{pH=high} => {eDNAConc=high}",0.476190476190476,0.588235294117647,0.809523809523809,0.988235294117647,60
"{eFishCatch=absent,Site=1} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=absent,VolumeFiltered=high} => {eDNAConc=high}",0.0476190476190476,0.333333333333333,0.142857142857143,0.56,6
"{eFishCatch=absent,Backpack=OSMOS} => {eDNAConc=high}",0.0555555555555556,0.583333333333333,0.0952380952380952,0.98,7
"{eFishCatch=absent,VolumeFiltered=low} => {eDNAConc=high}",0.00793650793650794,0.166666666666667,0.0476190476190476,0.28,1
"{eFishCatch=absent,Conductivity=low} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=absent,WaterTemp=low} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=absent,AirTemp=low} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=absent,DissolvedOxygen=high} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{eFishCatch=absent,pH=high} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{Conductivity=high,Site=4} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
"{WaterTemp=high,Site=4} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
"{AirTemp=high,Site=4} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
"{VolumeFiltered=high,Site=4} => {eDNAConc=high}",0.0476190476190476,1,0.0476190476190476,1.68,6
"{Backpack=OSMOS,Site=4} => {eDNAConc=high}",0.0714285714285714,0.75,0.0952380952380952,1.26,9
"{Backpack=ANDe,Site=4} => {eDNAConc=high}",0.0634920634920635,0.666666666666667,0.0952380952380952,1.12,8
"{VolumeFiltered=low,Site=4} => {eDNAConc=high}",0.0873015873015873,0.611111111111111,0.142857142857143,1.02666666666667,11
"{DissolvedOxygen=high,Site=4} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
"{eFishCatch=present,Site=4} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
"{pH=high,Site=4} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
"{pH=low,Site=3} => {eDNAConc=high}",0.119047619047619,0.625,0.19047619047619,1.05,15
"{DissolvedOxygen=low,Site=3} => {eDNAConc=high}",0.119047619047619,0.625,0.19047619047619,1.05,15
"{VolumeFiltered=high,Site=3} => {eDNAConc=high}",0.0873015873015873,0.611111111111111,0.142857142857143,1.02666666666667,11
"{Backpack=OSMOS,Site=3} => {eDNAConc=high}",0.0317460317460317,0.333333333333333,0.0952380952380952,0.56,4
"{Backpack=ANDe,Site=3} => {eDNAConc=high}",0.0873015873015873,0.916666666666667,0.0952380952380952,1.54,11
"{VolumeFiltered=low,Site=3} => {eDNAConc=high}",0.0317460317460317,0.666666666666667,0.0476190476190476,1.12,4
"{Conductivity=low,Site=3} => {eDNAConc=high}",0.119047619047619,0.625,0.19047619047619,1.05,15
"{WaterTemp=low,Site=3} => {eDNAConc=high}",0.119047619047619,0.625,0.19047619047619,1.05,15
"{AirTemp=low,Site=3} => {eDNAConc=high}",0.119047619047619,0.625,0.19047619047619,1.05,15
"{eFishCatch=present,Site=3} => {eDNAConc=high}",0.119047619047619,0.625,0.19047619047619,1.05,15
"{VolumeFiltered=high,Site=1} => {eDNAConc=high}",0.0476190476190476,0.333333333333333,0.142857142857143,0.56,6
"{Backpack=OSMOS,Site=1} => {eDNAConc=high}",0.0555555555555556,0.583333333333333,0.0952380952380952,0.98,7
"{VolumeFiltered=low,Site=1} => {eDNAConc=high}",0.00793650793650794,0.166666666666667,0.0476190476190476,0.28,1
"{Conductivity=low,Site=1} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{WaterTemp=low,Site=1} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{AirTemp=low,Site=1} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{DissolvedOxygen=high,Site=1} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{pH=high,Site=1} => {eDNAConc=high}",0.0555555555555556,0.291666666666667,0.19047619047619,0.49,7
"{pH=low,DissolvedOxygen=low} => {eDNAConc=high}",0.119047619047619,0.625,0.19047619047619,1.05,15
"{pH=low,VolumeFiltered=high} => {eDNAConc=high}",0.0873015873015873,0.611111111111111,0.142857142857143,1.02666666666667,11
"{pH=low,Backpack=OSMOS} => {eDNAConc=high}",0.0317460317460317,0.333333333333333,0.0952380952380952,0.56,4
"{pH=low,Backpack=ANDe} => {eDNAConc=high}",0.0873015873015873,0.916666666666667,0.0952380952380952,1.54,11
"{pH=low,VolumeFiltered=low} => {eDNAConc=high}",0.0317460317460317,0.666666666666667,0.0476190476190476,1.12,4
"{pH=low,Conductivity=low} => {eDNAConc=high}",0.119047619047619,0.625,0.19047619047619,1.05,15
"{WaterTemp=low,pH=low} => {eDNAConc=high}",0.119047619047619,0.625,0.19047619047619,1.05,15
"{AirTemp=low,pH=low} => {eDNAConc=high}",0.119047619047619,0.625,0.19047619047619,1.05,15
"{eFishCatch=present,pH=low} => {eDNAConc=high}",0.119047619047619,0.625,0.19047619047619,1.05,15
"{DissolvedOxygen=low,Site=2} => {eDNAConc=high}",0.142857142857143,0.75,0.19047619047619,1.26,18
"{VolumeFiltered=high,Site=2} => {eDNAConc=high}",0.0476190476190476,0.5,0.0952380952380952,0.84,6
"{Backpack=OSMOS,Site=2} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12
"{Backpack=ANDe,Site=2} => {eDNAConc=high}",0.0476190476190476,0.5,0.0952380952380952,0.84,6
"{VolumeFiltered=low,Site=2} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12
"{Conductivity=low,Site=2} => {eDNAConc=high}",0.142857142857143,0.75,0.19047619047619,1.26,18
"{WaterTemp=low,Site=2} => {eDNAConc=high}",0.142857142857143,0.75,0.19047619047619,1.26,18
"{AirTemp=low,Site=2} => {eDNAConc=high}",0.142857142857143,0.75,0.19047619047619,1.26,18
"{eFishCatch=present,Site=2} => {eDNAConc=high}",0.142857142857143,0.75,0.19047619047619,1.26,18
"{pH=high,Site=2} => {eDNAConc=high}",0.142857142857143,0.75,0.19047619047619,1.26,18
"{Conductivity=high,Site=5} => {eDNAConc=high}",0.142857142857143,0.6,0.238095238095238,1.008,18
"{WaterTemp=high,Site=5} => {eDNAConc=high}",0.142857142857143,0.6,0.238095238095238,1.008,18
"{AirTemp=high,Site=5} => {eDNAConc=high}",0.142857142857143,0.6,0.238095238095238,1.008,18
"{VolumeFiltered=high,Site=5} => {eDNAConc=high}",0.0476190476190476,1,0.0476190476190476,1.68,6
"{Backpack=OSMOS,Site=5} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12
"{Backpack=ANDe,Site=5} => {eDNAConc=high}",0.0476190476190476,0.333333333333333,0.142857142857143,0.56,6
"{VolumeFiltered=low,Site=5} => {eDNAConc=high}",0.0952380952380952,0.5,0.19047619047619,0.84,12
"{DissolvedOxygen=high,Site=5} => {eDNAConc=high}",0.142857142857143,0.6,0.238095238095238,1.008,18
"{eFishCatch=present,Site=5} => {eDNAConc=high}",0.142857142857143,0.6,0.238095238095238,1.008,18
"{pH=high,Site=5} => {eDNAConc=high}",0.142857142857143,0.6,0.238095238095238,1.008,18
"{DissolvedOxygen=low,VolumeFiltered=high} => {eDNAConc=high}",0.134920634920635,0.566666666666667,0.238095238095238,0.952,17
"{DissolvedOxygen=low,Backpack=OSMOS} => {eDNAConc=high}",0.126984126984127,0.666666666666667,0.19047619047619,1.12,16
"{DissolvedOxygen=low,Backpack=ANDe} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17
