"rules","support","confidence","coverage","lift","count","p_raw","p_BH","p_BF","len","lhs"
"{} => {eDNAConc=high}",0.595238095238095,0.595238095238095,1,1,75,1,1,1,1,"{}"
"{Site=4} => {eDNAConc=high}",0.134920634920635,0.708333333333333,0.19047619047619,1.19,17,0.152968723641291,0.191210904551614,1,2,"{Site=4}"
"{Site=3} => {eDNAConc=high}",0.119047619047619,0.625,0.19047619047619,1.05,15,0.464309110011865,0.502253082989164,1,2,"{Site=3}"
"{pH=low} => {eDNAConc=high}",0.119047619047619,0.625,0.19047619047619,1.05,15,0.464309110011865,0.502253082989164,1,2,"{pH=low}"
"{Site=2} => {eDNAConc=high}",0.142857142857143,0.75,0.19047619047619,1.26,18,0.0665771760636767,0.10346651796528,1,2,"{Site=2}"
"{Site=5} => {eDNAConc=high}",0.142857142857143,0.6,0.238095238095238,1.008,18,0.563148460458562,0.570758574789083,1,2,"{Site=5}"
"{DissolvedOxygen=low} => {eDNAConc=high}",0.261904761904762,0.6875,0.380952380952381,1.155,33,0.0703572322163907,0.10346651796528,1,2,"{DissolvedOxygen=low}"
"{Conductivity=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35,0.19383979056381,0.220272489277056,1,2,"{Conductivity=high}"
"{WaterTemp=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35,0.19383979056381,0.220272489277056,1,2,"{WaterTemp=high}"
"{AirTemp=high} => {eDNAConc=high}",0.277777777777778,0.648148148148148,0.428571428571429,1.08888888888889,35,0.19383979056381,0.220272489277056,1,2,"{AirTemp=high}"
"{Backpack=OSMOS} => {eDNAConc=high}",0.349206349206349,0.733333333333333,0.476190476190476,1.232,44,0.00219199672332873,0.00608887978702425,0.164399754249655,2,"{Backpack=OSMOS}"
"{VolumeFiltered=low} => {eDNAConc=high}",0.317460317460317,0.606060606060606,0.523809523809524,1.01818181818182,40,0.46876954412322,0.502253082989164,1,2,"{VolumeFiltered=low}"
"{eFishCatch=present} => {eDNAConc=high}",0.53968253968254,0.666666666666667,0.80952380952381,1.12,68,0.000902144334660058,0.00387042141837744,0.0676608250995043,2,"{eFishCatch=present}"
