"rules","support","confidence","coverage","lift","count","p_raw","p_BH","p_BF","len","lhs"
"{Backpack=OSMOS,Site=2} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,3,"{Backpack=OSMOS,Site=2}"
"{VolumeFiltered=low,Site=2} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,3,"{VolumeFiltered=low,Site=2}"
"{Backpack=OSMOS,Site=5} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,3,"{Backpack=OSMOS,Site=5}"
"{Conductivity=high,VolumeFiltered=high} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,3,"{Conductivity=high,VolumeFiltered=high}"
"{WaterTemp=high,VolumeFiltered=high} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,3,"{WaterTemp=high,VolumeFiltered=high}"
"{AirTemp=high,VolumeFiltered=high} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,3,"{AirTemp=high,VolumeFiltered=high}"
"{pH=high,DissolvedOxygen=low,Backpack=OSMOS} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,4,"{pH=high,DissolvedOxygen=low,Backpack=OSMOS}"
"{pH=high,DissolvedOxygen=low,VolumeFiltered=low} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,4,"{pH=high,DissolvedOxygen=low,VolumeFiltered=low}"
"{DissolvedOxygen=high,VolumeFiltered=high,Backpack=OSMOS} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,4,"{DissolvedOxygen=high,VolumeFiltered=high,Backpack=OSMOS}"
"{pH=high,VolumeFiltered=high,Backpack=OSMOS} => {eDNAConc=high}",0.0952380952380952,1,0.0952380952380952,1.68,12,0.00134174609170418,0.00387042141837744,0.100630956877814,4,"{pH=high,VolumeFiltered=high,Backpack=OSMOS}"
