"rules","support","confidence","coverage","lift","count"
"{} => {eFishCatch=present}",0.80952380952381,0.80952380952381,1,1,102
"{Site=4} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{Site=3} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{pH=low} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{Site=2} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{Site=5} => {eFishCatch=present}",0.238095238095238,1,0.238095238095238,1.23529411764706,30
"{DissolvedOxygen=low} => {eFishCatch=present}",0.380952380952381,1,0.380952380952381,1.23529411764706,48
"{eDNAConc=low} => {eFishCatch=present}",0.26984126984127,0.666666666666667,0.404761904761905,0.823529411764706,34
"{AirTemp=high} => {eFishCatch=present}",0.428571428571429,1,0.428571428571429,1.23529411764706,54
"{WaterTemp=high} => {eFishCatch=present}",0.428571428571429,1,0.428571428571429,1.23529411764706,54
"{Conductivity=high} => {eFishCatch=present}",0.428571428571429,1,0.428571428571429,1.23529411764706,54
"{Backpack=OSMOS} => {eFishCatch=present}",0.380952380952381,0.8,0.476190476190476,0.988235294117647,48
"{VolumeFiltered=high} => {eFishCatch=present}",0.333333333333333,0.7,0.476190476190476,0.864705882352941,42
"{VolumeFiltered=low} => {eFishCatch=present}",0.476190476190476,0.909090909090909,0.523809523809524,1.12299465240642,60
"{Backpack=ANDe} => {eFishCatch=present}",0.428571428571429,0.818181818181818,0.523809523809524,1.01069518716578,54
"{Conductivity=low} => {eFishCatch=present}",0.380952380952381,0.666666666666667,0.571428571428571,0.823529411764706,48
"{WaterTemp=low} => {eFishCatch=present}",0.380952380952381,0.666666666666667,0.571428571428571,0.823529411764706,48
"{AirTemp=low} => {eFishCatch=present}",0.380952380952381,0.666666666666667,0.571428571428571,0.823529411764706,48
"{eDNAConc=high} => {eFishCatch=present}",0.53968253968254,0.906666666666667,0.595238095238095,1.12,68
"{DissolvedOxygen=high} => {eFishCatch=present}",0.428571428571429,0.692307692307692,0.619047619047619,0.855203619909502,54
"{pH=high} => {eFishCatch=present}",0.619047619047619,0.764705882352941,0.80952380952381,0.944636678200692,78
"{eDNAConc=low,Site=4} => {eFishCatch=present}",0.0555555555555556,1,0.0555555555555556,1.23529411764706,7
"{AirTemp=high,Site=4} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{WaterTemp=high,Site=4} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{Conductivity=high,Site=4} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{Backpack=OSMOS,Site=4} => {eFishCatch=present}",0.0952380952380952,1,0.0952380952380952,1.23529411764706,12
"{VolumeFiltered=high,Site=4} => {eFishCatch=present}",0.0476190476190476,1,0.0476190476190476,1.23529411764706,6
"{VolumeFiltered=low,Site=4} => {eFishCatch=present}",0.142857142857143,1,0.142857142857143,1.23529411764706,18
"{Backpack=ANDe,Site=4} => {eFishCatch=present}",0.0952380952380952,1,0.0952380952380952,1.23529411764706,12
"{eDNAConc=high,Site=4} => {eFishCatch=present}",0.134920634920635,1,0.134920634920635,1.23529411764706,17
"{DissolvedOxygen=high,Site=4} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{pH=high,Site=4} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{pH=low,Site=3} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{DissolvedOxygen=low,Site=3} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{eDNAConc=low,Site=3} => {eFishCatch=present}",0.0714285714285714,1,0.0714285714285714,1.23529411764706,9
"{Backpack=OSMOS,Site=3} => {eFishCatch=present}",0.0952380952380952,1,0.0952380952380952,1.23529411764706,12
"{VolumeFiltered=high,Site=3} => {eFishCatch=present}",0.142857142857143,1,0.142857142857143,1.23529411764706,18
"{VolumeFiltered=low,Site=3} => {eFishCatch=present}",0.0476190476190476,1,0.0476190476190476,1.23529411764706,6
"{Backpack=ANDe,Site=3} => {eFishCatch=present}",0.0952380952380952,1,0.0952380952380952,1.23529411764706,12
"{Conductivity=low,Site=3} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{WaterTemp=low,Site=3} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{AirTemp=low,Site=3} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{eDNAConc=high,Site=3} => {eFishCatch=present}",0.119047619047619,1,0.119047619047619,1.23529411764706,15
"{pH=low,DissolvedOxygen=low} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{eDNAConc=low,pH=low} => {eFishCatch=present}",0.0714285714285714,1,0.0714285714285714,1.23529411764706,9
"{pH=low,Backpack=OSMOS} => {eFishCatch=present}",0.0952380952380952,1,0.0952380952380952,1.23529411764706,12
"{pH=low,VolumeFiltered=high} => {eFishCatch=present}",0.142857142857143,1,0.142857142857143,1.23529411764706,18
"{pH=low,VolumeFiltered=low} => {eFishCatch=present}",0.0476190476190476,1,0.0476190476190476,1.23529411764706,6
"{pH=low,Backpack=ANDe} => {eFishCatch=present}",0.0952380952380952,1,0.0952380952380952,1.23529411764706,12
"{pH=low,Conductivity=low} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{WaterTemp=low,pH=low} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{AirTemp=low,pH=low} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{eDNAConc=high,pH=low} => {eFishCatch=present}",0.119047619047619,1,0.119047619047619,1.23529411764706,15
"{DissolvedOxygen=low,Site=2} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{eDNAConc=low,Site=2} => {eFishCatch=present}",0.0476190476190476,1,0.0476190476190476,1.23529411764706,6
"{Backpack=OSMOS,Site=2} => {eFishCatch=present}",0.0952380952380952,1,0.0952380952380952,1.23529411764706,12
"{VolumeFiltered=high,Site=2} => {eFishCatch=present}",0.0952380952380952,1,0.0952380952380952,1.23529411764706,12
"{VolumeFiltered=low,Site=2} => {eFishCatch=present}",0.0952380952380952,1,0.0952380952380952,1.23529411764706,12
"{Backpack=ANDe,Site=2} => {eFishCatch=present}",0.0952380952380952,1,0.0952380952380952,1.23529411764706,12
"{Conductivity=low,Site=2} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{WaterTemp=low,Site=2} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{AirTemp=low,Site=2} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{eDNAConc=high,Site=2} => {eFishCatch=present}",0.142857142857143,1,0.142857142857143,1.23529411764706,18
"{pH=high,Site=2} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{eDNAConc=low,Site=5} => {eFishCatch=present}",0.0952380952380952,1,0.0952380952380952,1.23529411764706,12
"{AirTemp=high,Site=5} => {eFishCatch=present}",0.238095238095238,1,0.238095238095238,1.23529411764706,30
"{WaterTemp=high,Site=5} => {eFishCatch=present}",0.238095238095238,1,0.238095238095238,1.23529411764706,30
"{Conductivity=high,Site=5} => {eFishCatch=present}",0.238095238095238,1,0.238095238095238,1.23529411764706,30
"{Backpack=OSMOS,Site=5} => {eFishCatch=present}",0.0952380952380952,1,0.0952380952380952,1.23529411764706,12
"{VolumeFiltered=high,Site=5} => {eFishCatch=present}",0.0476190476190476,1,0.0476190476190476,1.23529411764706,6
"{VolumeFiltered=low,Site=5} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{Backpack=ANDe,Site=5} => {eFishCatch=present}",0.142857142857143,1,0.142857142857143,1.23529411764706,18
"{eDNAConc=high,Site=5} => {eFishCatch=present}",0.142857142857143,1,0.142857142857143,1.23529411764706,18
"{DissolvedOxygen=high,Site=5} => {eFishCatch=present}",0.238095238095238,1,0.238095238095238,1.23529411764706,30
"{pH=high,Site=5} => {eFishCatch=present}",0.238095238095238,1,0.238095238095238,1.23529411764706,30
"{eDNAConc=low,DissolvedOxygen=low} => {eFishCatch=present}",0.119047619047619,1,0.119047619047619,1.23529411764706,15
"{DissolvedOxygen=low,Backpack=OSMOS} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{DissolvedOxygen=low,VolumeFiltered=high} => {eFishCatch=present}",0.238095238095238,1,0.238095238095238,1.23529411764706,30
"{DissolvedOxygen=low,VolumeFiltered=low} => {eFishCatch=present}",0.142857142857143,1,0.142857142857143,1.23529411764706,18
"{DissolvedOxygen=low,Backpack=ANDe} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{DissolvedOxygen=low,Conductivity=low} => {eFishCatch=present}",0.380952380952381,1,0.380952380952381,1.23529411764706,48
"{WaterTemp=low,DissolvedOxygen=low} => {eFishCatch=present}",0.380952380952381,1,0.380952380952381,1.23529411764706,48
"{AirTemp=low,DissolvedOxygen=low} => {eFishCatch=present}",0.380952380952381,1,0.380952380952381,1.23529411764706,48
"{eDNAConc=high,DissolvedOxygen=low} => {eFishCatch=present}",0.261904761904762,1,0.261904761904762,1.23529411764706,33
"{pH=high,DissolvedOxygen=low} => {eFishCatch=present}",0.19047619047619,1,0.19047619047619,1.23529411764706,24
"{eDNAConc=low,AirTemp=high} => {eFishCatch=present}",0.150793650793651,1,0.150793650793651,1.23529411764706,19
