"method","consequent","metric","rho","praw","n","p_BH","p_BF"
"BF","eDNAConc=high","confidence",-0.600258598331518,1.25482993660829e-08,75,5.01931974643314e-08,3.01159184785989e-07
"BF","eDNAConc=high","length",-0.286967109109606,0.0125528627037531,75,0.0334743005433416,0.301268704890074
"BF","eDNAConc=high","lift",-0.600258598331518,1.25482993660829e-08,75,5.01931974643314e-08,3.01159184785989e-07
"BF","eDNAConc=high","support",-0.000173586588490729,0.99882068386256,75,0.99882068386256,1
"BF","eFishCatch=present","confidence",-0.346614698007209,0.172890378018238,17,0.276624604829181,1
"BF","eFishCatch=present","length",-0.0279586710428726,0.915173003914444,17,0.95496313451942,1
"BF","eFishCatch=present","lift",-0.346614698007209,0.172890378018238,17,0.276624604829181,1
"BF","eFishCatch=present","support",-0.325286158401768,0.202655149175766,17,0.303982723763649,1
"BH","eDNAConc=high","confidence",-0.798299575551799,9.71966689468354e-18,75,1.16636002736202e-16,2.33272005472405e-16
"BH","eDNAConc=high","length",-0.419611028391099,0.000178653925793485,75,0.000612527745577662,0.00428769421904363
"BH","eDNAConc=high","lift",-0.798299575551799,9.71966689468354e-18,75,1.16636002736202e-16,2.33272005472405e-16
"BH","eDNAConc=high","support",0.118638709865833,0.310692353436875,75,0.414256471249166,1
"BH","eFishCatch=present","confidence",-0.430368311884986,0.0846340136305955,17,0.184656029739481,1
"BH","eFishCatch=present","length",-0.0900003321001368,0.73121187657988,17,0.835670716091292,1
"BH","eFishCatch=present","lift",-0.430368311884986,0.0846340136305955,17,0.184656029739481,1
"BH","eFishCatch=present","support",-0.217674115155428,0.401321068423805,17,0.506931875903754,1
"unadj","eDNAConc=high","confidence",-0.756322340439788,4.29220017422577e-15,75,2.57532010453546e-14,1.03012804181419e-13
"unadj","eDNAConc=high","length",-0.386600823076627,0.000612379304409684,75,0.00183713791322905,0.0146971033058324
"unadj","eDNAConc=high","lift",-0.756322340439788,4.29220017422577e-15,75,2.57532010453546e-14,1.03012804181419e-13
"unadj","eDNAConc=high","support",0.0625690156091374,0.593836005136522,75,0.712603206163827,1
"unadj","eFishCatch=present","confidence",-0.378151266065158,0.134490506127947,17,0.248290165159286,1
"unadj","eFishCatch=present","length",-0.077466608243232,0.76759806704155,17,0.837379709499873,1
"unadj","eFishCatch=present","lift",-0.378151266065158,0.134490506127947,17,0.248290165159286,1
"unadj","eFishCatch=present","support",-0.283905727807404,0.269449406729384,17,0.380399162441483,1
