"method","metric","rho","praw","n","p_BH","p_BF"
"BF","confidence",-0.458562372614213,0.133777061590234,12,0.267554123180467,1
"BF","length",0.0793988445567218,0.806237526356567,12,0.879531846934437,1
"BF","lift",-0.496149452336689,0.100883731275626,12,0.242120955061502,1
"BF","support",-0.0888100868068437,0.7837260760782,12,0.879531846934437,1
"BH","confidence",-0.362424027640933,0.00896000476253071,51,0.0537600285751843,0.107520057150369
"BH","length",0.0839941104305987,0.557872618473976,51,0.836808927710964,1
"BH","lift",0.00652823332714372,0.963736211921938,51,0.963736211921938,1
"BH","support",-0.270510789253575,0.0548699704527278,51,0.219479881810911,0.658439645432734
"unadj","confidence",-0.0450154127164326,0.744166574998777,55,0.879531846934437,1
"unadj","length",0.171628754527863,0.210235336463864,55,0.360403433938053,1
"unadj","lift",0.235405112658456,0.0836092776388349,55,0.242120955061502,1
"unadj","support",-0.505400775082399,8.29819599550963e-05,55,0.000995783519461156,0.000995783519461156
