"method","consequent","metric","rho","praw","n","p_BH","p_BF"
"BF","eDNAConc=high","confidence",-0.5,1,3,1,1
"BF","eDNAConc=high","length",0,1,3,1,1
"BF","eDNAConc=high","lift",-0.5,1,3,1,1
"BF","eDNAConc=high","support",-0.5,1,3,1,1
"BF","eFishCatch=present","confidence",-0.765376519785223,0.0162324860900827,9,0.097394916540496,0.389579666161984
"BF","eFishCatch=present","length",0.105279360951539,0.787497752697168,9,1,1
"BF","eFishCatch=present","lift",-0.765376519785223,0.0162324860900827,9,0.097394916540496,0.389579666161984
"BF","eFishCatch=present","support",0.103448275862069,0.791127261294252,9,1,1
"BH","eDNAConc=high","confidence",-0.353939280521157,0.0316228036471896,37,0.108421041076079,0.75894728753255
"BH","eDNAConc=high","length",-0.21222272662622,0.207303051583764,37,0.621909154751291,1
"BH","eDNAConc=high","lift",-0.353939280521157,0.0316228036471896,37,0.108421041076079,0.75894728753255
"BH","eDNAConc=high","support",0.00444487505989803,0.979170215835933,37,1,1
"BH","eFishCatch=present","confidence",-0.128086102801351,0.662563305126688,14,1,1
"BH","eFishCatch=present","length",0,1,14,1,1
"BH","eFishCatch=present","lift",-0.128086102801351,0.662563305126688,14,1,1
"BH","eFishCatch=present","support",-0.600580231747038,0.0231402158558821,14,0.108421041076079,0.555365180541171
"unadj","eDNAConc=high","confidence",0.115501739001289,0.472071536091044,41,1,1
"unadj","eDNAConc=high","length",-0.0351785978309791,0.827153003348961,41,1,1
"unadj","eDNAConc=high","lift",0.115501739001289,0.472071536091044,41,1,1
"unadj","eDNAConc=high","support",-0.453775980438258,0.00288376282142511,41,0.0604534511991868,0.0692103077142028
"unadj","eFishCatch=present","confidence",-0.0345636914028353,0.90662103592052,14,1,1
"unadj","eFishCatch=present","length",0.0221846925822291,0.939994575716486,14,1,1
"unadj","eFishCatch=present","lift",-0.0345636914028353,0.90662103592052,14,1,1
"unadj","eFishCatch=present","support",-0.703016241299304,0.00503778759993224,14,0.0604534511991868,0.120906902398374
